year,county_name,urbanicity,region,division,pop_category,population,prison_population
2015,Kings County,small/mid,West,Pacific,Male,58794,934
2016,Kings County,small/mid,West,Pacific,Male,58933,NA
1970,Lake County,rural,West,Pacific,Male,5306,NA
1971,Lake County,rural,West,Pacific,Male,5662,NA
1972,Lake County,rural,West,Pacific,Male,5959,NA
1973,Lake County,rural,West,Pacific,Male,6510,NA
1974,Lake County,rural,West,Pacific,Male,6729,NA
1975,Lake County,rural,West,Pacific,Male,7250,NA
1976,Lake County,rural,West,Pacific,Male,7851,NA
1977,Lake County,rural,West,Pacific,Male,8547,NA
1978,Lake County,rural,West,Pacific,Male,9373,NA
1979,Lake County,rural,West,Pacific,Male,10138,NA
1980,Lake County,rural,West,Pacific,Male,10730,NA
1981,Lake County,rural,West,Pacific,Male,11211,NA
1982,Lake County,rural,West,Pacific,Male,11548,NA
1983,Lake County,rural,West,Pacific,Male,12000,63
1984,Lake County,rural,West,Pacific,Male,12517,81
1985,Lake County,rural,West,Pacific,Male,12954,91
1986,Lake County,rural,West,Pacific,Male,13084,121
1987,Lake County,rural,West,Pacific,Male,13292,154
1988,Lake County,rural,West,Pacific,Male,13457,219
1989,Lake County,rural,West,Pacific,Male,13689,221
1990,Lake County,rural,West,Pacific,Male,14204,223
1991,Lake County,rural,West,Pacific,Male,14761,225
1992,Lake County,rural,West,Pacific,Male,15265,219
1993,Lake County,rural,West,Pacific,Male,15614,242
1994,Lake County,rural,West,Pacific,Male,15865,238
1995,Lake County,rural,West,Pacific,Male,15997,259
1996,Lake County,rural,West,Pacific,Male,16102,285
1997,Lake County,rural,West,Pacific,Male,16261,313
1998,Lake County,rural,West,Pacific,Male,16637,320
1999,Lake County,rural,West,Pacific,Male,17050,336
2000,Lake County,rural,West,Pacific,Male,17723,381
2001,Lake County,rural,West,Pacific,Male,18554,388
2002,Lake County,rural,West,Pacific,Male,19180,424
2003,Lake County,rural,West,Pacific,Male,19770,457
2004,Lake County,rural,West,Pacific,Male,20213,481
2005,Lake County,rural,West,Pacific,Male,20734,493
2006,Lake County,rural,West,Pacific,Male,21083,503
2007,Lake County,rural,West,Pacific,Male,21192,494
2008,Lake County,rural,West,Pacific,Male,21254,459
2009,Lake County,rural,West,Pacific,Male,21214,408
2010,Lake County,rural,West,Pacific,Male,21282,380
2011,Lake County,rural,West,Pacific,Male,21283,347
2012,Lake County,rural,West,Pacific,Male,20942,310
2013,Lake County,rural,West,Pacific,Male,20553,307
2014,Lake County,rural,West,Pacific,Male,20227,321
2015,Lake County,rural,West,Pacific,Male,20009,325
2016,Lake County,rural,West,Pacific,Male,19740,NA
1970,Lassen County,rural,West,Pacific,Male,6349,NA
1971,Lassen County,rural,West,Pacific,Male,6442,NA
1972,Lassen County,rural,West,Pacific,Male,6574,NA
1973,Lassen County,rural,West,Pacific,Male,6530,NA
1974,Lassen County,rural,West,Pacific,Male,6863,NA
1975,Lassen County,rural,West,Pacific,Male,7163,NA
1976,Lassen County,rural,West,Pacific,Male,7045,NA
1977,Lassen County,rural,West,Pacific,Male,7355,NA
1978,Lassen County,rural,West,Pacific,Male,7512,NA
1979,Lassen County,rural,West,Pacific,Male,7949,NA
1980,Lassen County,rural,West,Pacific,Male,8343,NA
1981,Lassen County,rural,West,Pacific,Male,8766,NA
1982,Lassen County,rural,West,Pacific,Male,9222,NA
1983,Lassen County,rural,West,Pacific,Male,9412,33
1984,Lassen County,rural,West,Pacific,Male,9657,NA
1985,Lassen County,rural,West,Pacific,Male,9901,NA
1986,Lassen County,rural,West,Pacific,Male,10220,NA
1987,Lassen County,rural,West,Pacific,Male,10890,NA
1988,Lassen County,rural,West,Pacific,Male,11239,NA
1989,Lassen County,rural,West,Pacific,Male,11595,NA
1990,Lassen County,rural,West,Pacific,Male,11726,NA
1991,Lassen County,rural,West,Pacific,Male,11773,70
1992,Lassen County,rural,West,Pacific,Male,12117,103
1993,Lassen County,rural,West,Pacific,Male,12261,97
1994,Lassen County,rural,West,Pacific,Male,12037,118
1995,Lassen County,rural,West,Pacific,Male,12072,126
1996,Lassen County,rural,West,Pacific,Male,14399,159
1997,Lassen County,rural,West,Pacific,Male,16428,141
1998,Lassen County,rural,West,Pacific,Male,16555,153
1999,Lassen County,rural,West,Pacific,Male,16524,136
2000,Lassen County,rural,West,Pacific,Male,16609,153
2001,Lassen County,rural,West,Pacific,Male,16601,149
2002,Lassen County,rural,West,Pacific,Male,16535,173
2003,Lassen County,rural,West,Pacific,Male,16913,158
2004,Lassen County,rural,West,Pacific,Male,17474,143
2005,Lassen County,rural,West,Pacific,Male,17602,129
2006,Lassen County,rural,West,Pacific,Male,17780,143
2007,Lassen County,rural,West,Pacific,Male,18790,155
2008,Lassen County,rural,West,Pacific,Male,18304,148
2009,Lassen County,rural,West,Pacific,Male,18188,128
2010,Lassen County,rural,West,Pacific,Male,18047,123
2011,Lassen County,rural,West,Pacific,Male,18050,114
2012,Lassen County,rural,West,Pacific,Male,17853,104
2013,Lassen County,rural,West,Pacific,Male,17421,99
2014,Lassen County,rural,West,Pacific,Male,16135,NA
2015,Lassen County,rural,West,Pacific,Male,16038,NA
2016,Lassen County,rural,West,Pacific,Male,15557,NA
1970,Los Angeles County,urban,West,Pacific,Male,2204977,NA
1971,Los Angeles County,urban,West,Pacific,Male,2240380,NA
1972,Los Angeles County,urban,West,Pacific,Male,2248451,NA
1973,Los Angeles County,urban,West,Pacific,Male,2264730,NA
1974,Los Angeles County,urban,West,Pacific,Male,2299308,NA
1975,Los Angeles County,urban,West,Pacific,Male,2326758,NA
1976,Los Angeles County,urban,West,Pacific,Male,2378953,NA
1977,Los Angeles County,urban,West,Pacific,Male,2407767,NA
1978,Los Angeles County,urban,West,Pacific,Male,2457084,NA
1979,Los Angeles County,urban,West,Pacific,Male,2487249,NA
1980,Los Angeles County,urban,West,Pacific,Male,2533312,NA
1981,Los Angeles County,urban,West,Pacific,Male,2583060,NA
1982,Los Angeles County,urban,West,Pacific,Male,2646094,NA
1983,Los Angeles County,urban,West,Pacific,Male,2703842,14238
1984,Los Angeles County,urban,West,Pacific,Male,2756298,15760
1985,Los Angeles County,urban,West,Pacific,Male,2815984,18433
1986,Los Angeles County,urban,West,Pacific,Male,2898571,23119
1987,Los Angeles County,urban,West,Pacific,Male,2956594,26663
1988,Los Angeles County,urban,West,Pacific,Male,2998455,31912
1989,Los Angeles County,urban,West,Pacific,Male,3043680,NA
1990,Los Angeles County,urban,West,Pacific,Male,3051790,NA
1991,Los Angeles County,urban,West,Pacific,Male,3047059,37368
1992,Los Angeles County,urban,West,Pacific,Male,3069778,40064
1993,Los Angeles County,urban,West,Pacific,Male,3057176,43285
1994,Los Angeles County,urban,West,Pacific,Male,3034226,43430
1995,Los Angeles County,urban,West,Pacific,Male,3011577,45761
1996,Los Angeles County,urban,West,Pacific,Male,3008786,48635
1997,Los Angeles County,urban,West,Pacific,Male,3041092,51811
1998,Los Angeles County,urban,West,Pacific,Male,3087973,53410
1999,Los Angeles County,urban,West,Pacific,Male,3133851,52906
2000,Los Angeles County,urban,West,Pacific,Male,3172917,52010
2001,Los Angeles County,urban,West,Pacific,Male,3210798,50455
2002,Los Angeles County,urban,West,Pacific,Male,3248484,50112
2003,Los Angeles County,urban,West,Pacific,Male,3278966,50891
2004,Los Angeles County,urban,West,Pacific,Male,3303269,51664
2005,Los Angeles County,urban,West,Pacific,Male,3319896,52401
2006,Los Angeles County,urban,West,Pacific,Male,3324836,54152
2007,Los Angeles County,urban,West,Pacific,Male,3327025,54388
2008,Los Angeles County,urban,West,Pacific,Male,3346917,54171
2009,Los Angeles County,urban,West,Pacific,Male,3371736,53306
2010,Los Angeles County,urban,West,Pacific,Male,3385296,51423
2011,Los Angeles County,urban,West,Pacific,Male,3388129,48045
2012,Los Angeles County,urban,West,Pacific,Male,3411600,44522
2013,Los Angeles County,urban,West,Pacific,Male,3432336,44493
2014,Los Angeles County,urban,West,Pacific,Male,3452705,43595
2015,Los Angeles County,urban,West,Pacific,Male,3466661,41135
2016,Los Angeles County,urban,West,Pacific,Male,3480148,NA
1970,Madera County,small/mid,West,Pacific,Male,12230,NA
1971,Madera County,small/mid,West,Pacific,Male,12633,NA
1972,Madera County,small/mid,West,Pacific,Male,12897,NA
1973,Madera County,small/mid,West,Pacific,Male,13412,NA
1974,Madera County,small/mid,West,Pacific,Male,14009,NA
1975,Madera County,small/mid,West,Pacific,Male,14674,NA
1976,Madera County,small/mid,West,Pacific,Male,15335,NA
1977,Madera County,small/mid,West,Pacific,Male,16414,NA
1978,Madera County,small/mid,West,Pacific,Male,17443,NA
1979,Madera County,small/mid,West,Pacific,Male,18949,NA
1980,Madera County,small/mid,West,Pacific,Male,20222,NA
1981,Madera County,small/mid,West,Pacific,Male,21260,NA
1982,Madera County,small/mid,West,Pacific,Male,21868,NA
1983,Madera County,small/mid,West,Pacific,Male,22516,193
1984,Madera County,small/mid,West,Pacific,Male,22979,212
1985,Madera County,small/mid,West,Pacific,Male,23657,246
1986,Madera County,small/mid,West,Pacific,Male,24242,334
1987,Madera County,small/mid,West,Pacific,Male,24812,348
1988,Madera County,small/mid,West,Pacific,Male,25610,422
1989,Madera County,small/mid,West,Pacific,Male,26485,NA
1990,Madera County,small/mid,West,Pacific,Male,27473,NA
1991,Madera County,small/mid,West,Pacific,Male,29727,477
1992,Madera County,small/mid,West,Pacific,Male,30958,481
1993,Madera County,small/mid,West,Pacific,Male,32328,490
1994,Madera County,small/mid,West,Pacific,Male,33030,560
1995,Madera County,small/mid,West,Pacific,Male,33166,600
1996,Madera County,small/mid,West,Pacific,Male,34433,537
1997,Madera County,small/mid,West,Pacific,Male,35661,596
1998,Madera County,small/mid,West,Pacific,Male,36451,614
1999,Madera County,small/mid,West,Pacific,Male,37320,586
2000,Madera County,small/mid,West,Pacific,Male,37452,678
2001,Madera County,small/mid,West,Pacific,Male,38141,664
2002,Madera County,small/mid,West,Pacific,Male,39140,699
2003,Madera County,small/mid,West,Pacific,Male,40529,685
2004,Madera County,small/mid,West,Pacific,Male,41781,700
2005,Madera County,small/mid,West,Pacific,Male,43033,718
2006,Madera County,small/mid,West,Pacific,Male,44263,712
2007,Madera County,small/mid,West,Pacific,Male,45000,735
2008,Madera County,small/mid,West,Pacific,Male,45596,715
2009,Madera County,small/mid,West,Pacific,Male,45996,662
2010,Madera County,small/mid,West,Pacific,Male,46561,574
2011,Madera County,small/mid,West,Pacific,Male,46649,503
2012,Madera County,small/mid,West,Pacific,Male,46867,473
2013,Madera County,small/mid,West,Pacific,Male,46852,518
2014,Madera County,small/mid,West,Pacific,Male,46788,500
2015,Madera County,small/mid,West,Pacific,Male,46847,496
2016,Madera County,small/mid,West,Pacific,Male,46893,NA
1970,Marin County,suburban,West,Pacific,Male,69250,NA
1971,Marin County,suburban,West,Pacific,Male,69484,NA
1972,Marin County,suburban,West,Pacific,Male,70635,NA
1973,Marin County,suburban,West,Pacific,Male,74482,NA
1974,Marin County,suburban,West,Pacific,Male,73665,NA
1975,Marin County,suburban,West,Pacific,Male,76412,NA
1976,Marin County,suburban,West,Pacific,Male,78509,NA
1977,Marin County,suburban,West,Pacific,Male,79971,NA
1978,Marin County,suburban,West,Pacific,Male,80528,NA
1979,Marin County,suburban,West,Pacific,Male,80615,NA
1980,Marin County,suburban,West,Pacific,Male,80893,NA
1981,Marin County,suburban,West,Pacific,Male,81324,NA
1982,Marin County,suburban,West,Pacific,Male,81168,NA
1983,Marin County,suburban,West,Pacific,Male,81291,139
1984,Marin County,suburban,West,Pacific,Male,81071,155
1985,Marin County,suburban,West,Pacific,Male,80846,193
1986,Marin County,suburban,West,Pacific,Male,81409,196
1987,Marin County,suburban,West,Pacific,Male,81617,223
1988,Marin County,suburban,West,Pacific,Male,81933,236
1989,Marin County,suburban,West,Pacific,Male,83011,NA
1990,Marin County,suburban,West,Pacific,Male,82880,NA
1991,Marin County,suburban,West,Pacific,Male,83030,243
1992,Marin County,suburban,West,Pacific,Male,83603,259
1993,Marin County,suburban,West,Pacific,Male,83826,284
1994,Marin County,suburban,West,Pacific,Male,83557,295
1995,Marin County,suburban,West,Pacific,Male,83348,317
1996,Marin County,suburban,West,Pacific,Male,82628,373
1997,Marin County,suburban,West,Pacific,Male,84091,403
1998,Marin County,suburban,West,Pacific,Male,85715,394
1999,Marin County,suburban,West,Pacific,Male,86466,398
2000,Marin County,suburban,West,Pacific,Male,87020,374
2001,Marin County,suburban,West,Pacific,Male,86834,349
2002,Marin County,suburban,West,Pacific,Male,85997,372
2003,Marin County,suburban,West,Pacific,Male,85121,376
2004,Marin County,suburban,West,Pacific,Male,83926,353
2005,Marin County,suburban,West,Pacific,Male,83920,343
2006,Marin County,suburban,West,Pacific,Male,83595,356
2007,Marin County,suburban,West,Pacific,Male,83582,375
2008,Marin County,suburban,West,Pacific,Male,83464,396
2009,Marin County,suburban,West,Pacific,Male,83565,404
2010,Marin County,suburban,West,Pacific,Male,83231,384
2011,Marin County,suburban,West,Pacific,Male,83312,335
2012,Marin County,suburban,West,Pacific,Male,83576,306
2013,Marin County,suburban,West,Pacific,Male,82159,263
2014,Marin County,suburban,West,Pacific,Male,81943,256
2015,Marin County,suburban,West,Pacific,Male,81993,247
2016,Marin County,suburban,West,Pacific,Male,81611,NA
1970,Mariposa County,rural,West,Pacific,Male,1937,NA
1971,Mariposa County,rural,West,Pacific,Male,2128,NA
1972,Mariposa County,rural,West,Pacific,Male,2211,NA
1973,Mariposa County,rural,West,Pacific,Male,2438,NA
1974,Mariposa County,rural,West,Pacific,Male,2614,NA
1975,Mariposa County,rural,West,Pacific,Male,2773,NA
1976,Mariposa County,rural,West,Pacific,Male,2907,NA
1977,Mariposa County,rural,West,Pacific,Male,3083,NA
1978,Mariposa County,rural,West,Pacific,Male,3227,NA
1979,Mariposa County,rural,West,Pacific,Male,3573,NA
1980,Mariposa County,rural,West,Pacific,Male,3771,NA
1981,Mariposa County,rural,West,Pacific,Male,3873,NA
1982,Mariposa County,rural,West,Pacific,Male,3935,NA
1983,Mariposa County,rural,West,Pacific,Male,3970,NA
1984,Mariposa County,rural,West,Pacific,Male,4060,NA
1985,Mariposa County,rural,West,Pacific,Male,4151,NA
1986,Mariposa County,rural,West,Pacific,Male,4208,NA
1987,Mariposa County,rural,West,Pacific,Male,4266,NA
1988,Mariposa County,rural,West,Pacific,Male,4373,NA
1989,Mariposa County,rural,West,Pacific,Male,4476,5
1990,Mariposa County,rural,West,Pacific,Male,4603,7
1991,Mariposa County,rural,West,Pacific,Male,4859,9
1992,Mariposa County,rural,West,Pacific,Male,5042,9
1993,Mariposa County,rural,West,Pacific,Male,5137,8
1994,Mariposa County,rural,West,Pacific,Male,5266,21
1995,Mariposa County,rural,West,Pacific,Male,5377,39
1996,Mariposa County,rural,West,Pacific,Male,5499,NA
1997,Mariposa County,rural,West,Pacific,Male,5464,NA
1998,Mariposa County,rural,West,Pacific,Male,5705,NA
1999,Mariposa County,rural,West,Pacific,Male,5732,NA
2000,Mariposa County,rural,West,Pacific,Male,5792,NA
2001,Mariposa County,rural,West,Pacific,Male,5823,NA
2002,Mariposa County,rural,West,Pacific,Male,5876,NA
2003,Mariposa County,rural,West,Pacific,Male,6049,NA
2004,Mariposa County,rural,West,Pacific,Male,6108,NA
2005,Mariposa County,rural,West,Pacific,Male,6116,NA
2006,Mariposa County,rural,West,Pacific,Male,6211,NA
2007,Mariposa County,rural,West,Pacific,Male,6208,NA
2008,Mariposa County,rural,West,Pacific,Male,6129,NA
2009,Mariposa County,rural,West,Pacific,Male,6057,NA
2010,Mariposa County,rural,West,Pacific,Male,6081,59
2011,Mariposa County,rural,West,Pacific,Male,6091,51
2012,Mariposa County,rural,West,Pacific,Male,5977,NA
2013,Mariposa County,rural,West,Pacific,Male,5763,51
2014,Mariposa County,rural,West,Pacific,Male,5665,NA
2015,Mariposa County,rural,West,Pacific,Male,5574,NA
2016,Mariposa County,rural,West,Pacific,Male,5474,NA
1970,Mendocino County,rural,West,Pacific,Male,15842,NA
1971,Mendocino County,rural,West,Pacific,Male,16135,NA
1972,Mendocino County,rural,West,Pacific,Male,16406,NA
1973,Mendocino County,rural,West,Pacific,Male,17391,NA
1974,Mendocino County,rural,West,Pacific,Male,17984,NA
1975,Mendocino County,rural,West,Pacific,Male,18299,NA
1976,Mendocino County,rural,West,Pacific,Male,18946,NA
1977,Mendocino County,rural,West,Pacific,Male,19707,NA
1978,Mendocino County,rural,West,Pacific,Male,20349,NA
1979,Mendocino County,rural,West,Pacific,Male,21062,NA
1980,Mendocino County,rural,West,Pacific,Male,21738,NA
1981,Mendocino County,rural,West,Pacific,Male,22169,NA
1982,Mendocino County,rural,West,Pacific,Male,22565,NA
1983,Mendocino County,rural,West,Pacific,Male,22804,138
1984,Mendocino County,rural,West,Pacific,Male,23142,162
1985,Mendocino County,rural,West,Pacific,Male,23641,152
1986,Mendocino County,rural,West,Pacific,Male,23908,167
1987,Mendocino County,rural,West,Pacific,Male,24172,168
1988,Mendocino County,rural,West,Pacific,Male,24477,180
1989,Mendocino County,rural,West,Pacific,Male,25038,NA
1990,Mendocino County,rural,West,Pacific,Male,25596,NA
1991,Mendocino County,rural,West,Pacific,Male,25812,247
1992,Mendocino County,rural,West,Pacific,Male,25956,268
1993,Mendocino County,rural,West,Pacific,Male,25955,284
1994,Mendocino County,rural,West,Pacific,Male,26059,270
1995,Mendocino County,rural,West,Pacific,Male,26428,291
1996,Mendocino County,rural,West,Pacific,Male,26675,312
1997,Mendocino County,rural,West,Pacific,Male,27186,329
1998,Mendocino County,rural,West,Pacific,Male,27755,322
1999,Mendocino County,rural,West,Pacific,Male,28254,298
2000,Mendocino County,rural,West,Pacific,Male,28739,298
2001,Mendocino County,rural,West,Pacific,Male,29113,321
2002,Mendocino County,rural,West,Pacific,Male,29447,328
2003,Mendocino County,rural,West,Pacific,Male,29927,332
2004,Mendocino County,rural,West,Pacific,Male,30007,358
2005,Mendocino County,rural,West,Pacific,Male,30166,366
2006,Mendocino County,rural,West,Pacific,Male,29966,352
2007,Mendocino County,rural,West,Pacific,Male,29843,333
2008,Mendocino County,rural,West,Pacific,Male,29799,370
2009,Mendocino County,rural,West,Pacific,Male,29787,359
2010,Mendocino County,rural,West,Pacific,Male,29671,331
2011,Mendocino County,rural,West,Pacific,Male,29579,284
2012,Mendocino County,rural,West,Pacific,Male,29056,288
2013,Mendocino County,rural,West,Pacific,Male,28479,305
2014,Mendocino County,rural,West,Pacific,Male,27922,313
2015,Mendocino County,rural,West,Pacific,Male,27637,320
2016,Mendocino County,rural,West,Pacific,Male,27330,NA
1970,Merced County,small/mid,West,Pacific,Male,32065,NA
1971,Merced County,small/mid,West,Pacific,Male,33191,NA
1972,Merced County,small/mid,West,Pacific,Male,34336,NA
1973,Merced County,small/mid,West,Pacific,Male,35877,NA
1974,Merced County,small/mid,West,Pacific,Male,37272,NA
1975,Merced County,small/mid,West,Pacific,Male,38633,NA
1976,Merced County,small/mid,West,Pacific,Male,40491,NA
1977,Merced County,small/mid,West,Pacific,Male,40853,NA
1978,Merced County,small/mid,West,Pacific,Male,42005,NA
1979,Merced County,small/mid,West,Pacific,Male,43236,NA
1980,Merced County,small/mid,West,Pacific,Male,44469,NA
1981,Merced County,small/mid,West,Pacific,Male,45672,NA
1982,Merced County,small/mid,West,Pacific,Male,46483,NA
1983,Merced County,small/mid,West,Pacific,Male,47811,230
1984,Merced County,small/mid,West,Pacific,Male,48864,249
1985,Merced County,small/mid,West,Pacific,Male,50211,298
1986,Merced County,small/mid,West,Pacific,Male,51043,315
1987,Merced County,small/mid,West,Pacific,Male,52020,369
1988,Merced County,small/mid,West,Pacific,Male,53247,417
1989,Merced County,small/mid,West,Pacific,Male,54573,439
1990,Merced County,small/mid,West,Pacific,Male,56085,461
1991,Merced County,small/mid,West,Pacific,Male,57719,483
1992,Merced County,small/mid,West,Pacific,Male,58551,521
1993,Merced County,small/mid,West,Pacific,Male,59225,561
1994,Merced County,small/mid,West,Pacific,Male,60426,637
1995,Merced County,small/mid,West,Pacific,Male,59250,755
1996,Merced County,small/mid,West,Pacific,Male,58838,846
1997,Merced County,small/mid,West,Pacific,Male,60356,897
1998,Merced County,small/mid,West,Pacific,Male,62115,976
1999,Merced County,small/mid,West,Pacific,Male,63870,993
2000,Merced County,small/mid,West,Pacific,Male,65995,1012
2001,Merced County,small/mid,West,Pacific,Male,68823,990
2002,Merced County,small/mid,West,Pacific,Male,71512,1032
2003,Merced County,small/mid,West,Pacific,Male,74407,1085
2004,Merced County,small/mid,West,Pacific,Male,76713,1104
2005,Merced County,small/mid,West,Pacific,Male,78918,1211
2006,Merced County,small/mid,West,Pacific,Male,80137,1261
2007,Merced County,small/mid,West,Pacific,Male,81372,1198
2008,Merced County,small/mid,West,Pacific,Male,82207,1113
2009,Merced County,small/mid,West,Pacific,Male,83041,1129
2010,Merced County,small/mid,West,Pacific,Male,84030,1054
2011,Merced County,small/mid,West,Pacific,Male,84407,861
2012,Merced County,small/mid,West,Pacific,Male,85648,843
2013,Merced County,small/mid,West,Pacific,Male,86298,941
2014,Merced County,small/mid,West,Pacific,Male,86603,974
2015,Merced County,small/mid,West,Pacific,Male,87457,872
2016,Merced County,small/mid,West,Pacific,Male,88037,NA
1970,Modoc County,rural,West,Pacific,Male,2327,NA
1971,Modoc County,rural,West,Pacific,Male,2408,NA
1972,Modoc County,rural,West,Pacific,Male,2444,NA
1973,Modoc County,rural,West,Pacific,Male,2420,NA
1974,Modoc County,rural,West,Pacific,Male,2509,NA
1975,Modoc County,rural,West,Pacific,Male,2505,NA
1976,Modoc County,rural,West,Pacific,Male,2541,NA
1977,Modoc County,rural,West,Pacific,Male,2632,NA
1978,Modoc County,rural,West,Pacific,Male,2653,NA
1979,Modoc County,rural,West,Pacific,Male,2681,NA
1980,Modoc County,rural,West,Pacific,Male,2755,NA
1981,Modoc County,rural,West,Pacific,Male,2850,NA
1982,Modoc County,rural,West,Pacific,Male,2931,NA
1983,Modoc County,rural,West,Pacific,Male,2982,14
1984,Modoc County,rural,West,Pacific,Male,3032,NA
1985,Modoc County,rural,West,Pacific,Male,2981,17
1986,Modoc County,rural,West,Pacific,Male,2940,NA
1987,Modoc County,rural,West,Pacific,Male,2923,NA
1988,Modoc County,rural,West,Pacific,Male,2919,NA
1989,Modoc County,rural,West,Pacific,Male,3002,NA
1990,Modoc County,rural,West,Pacific,Male,2977,30
1991,Modoc County,rural,West,Pacific,Male,2993,32
1992,Modoc County,rural,West,Pacific,Male,3033,NA
1993,Modoc County,rural,West,Pacific,Male,2962,NA
1994,Modoc County,rural,West,Pacific,Male,3011,NA
1995,Modoc County,rural,West,Pacific,Male,2976,NA
1996,Modoc County,rural,West,Pacific,Male,3025,NA
1997,Modoc County,rural,West,Pacific,Male,3047,NA
1998,Modoc County,rural,West,Pacific,Male,2991,49
1999,Modoc County,rural,West,Pacific,Male,2990,NA
2000,Modoc County,rural,West,Pacific,Male,2976,NA
2001,Modoc County,rural,West,Pacific,Male,2965,NA
2002,Modoc County,rural,West,Pacific,Male,3004,NA
2003,Modoc County,rural,West,Pacific,Male,3077,NA
2004,Modoc County,rural,West,Pacific,Male,3131,50
2005,Modoc County,rural,West,Pacific,Male,3107,NA
2006,Modoc County,rural,West,Pacific,Male,3126,NA
2007,Modoc County,rural,West,Pacific,Male,3075,49
2008,Modoc County,rural,West,Pacific,Male,3076,NA
2009,Modoc County,rural,West,Pacific,Male,3055,NA
2010,Modoc County,rural,West,Pacific,Male,3066,37
2011,Modoc County,rural,West,Pacific,Male,3065,27
2012,Modoc County,rural,West,Pacific,Male,3019,NA
2013,Modoc County,rural,West,Pacific,Male,2922,NA
2014,Modoc County,rural,West,Pacific,Male,2798,NA
2015,Modoc County,rural,West,Pacific,Male,2724,NA
2016,Modoc County,rural,West,Pacific,Male,2697,NA
1970,Mono County,rural,West,Pacific,Male,1457,NA
1971,Mono County,rural,West,Pacific,Male,1652,NA
1972,Mono County,rural,West,Pacific,Male,1876,NA
1973,Mono County,rural,West,Pacific,Male,2487,NA
1974,Mono County,rural,West,Pacific,Male,2648,NA
1975,Mono County,rural,West,Pacific,Male,2833,NA
1976,Mono County,rural,West,Pacific,Male,2858,NA
1977,Mono County,rural,West,Pacific,Male,2993,NA
1978,Mono County,rural,West,Pacific,Male,2911,NA
1979,Mono County,rural,West,Pacific,Male,3431,NA
1980,Mono County,rural,West,Pacific,Male,3645,NA
1981,Mono County,rural,West,Pacific,Male,3746,NA
1982,Mono County,rural,West,Pacific,Male,3881,NA
1983,Mono County,rural,West,Pacific,Male,3836,NA
1984,Mono County,rural,West,Pacific,Male,3645,NA
1985,Mono County,rural,West,Pacific,Male,3638,NA
1986,Mono County,rural,West,Pacific,Male,3617,NA
1987,Mono County,rural,West,Pacific,Male,3642,7
1988,Mono County,rural,West,Pacific,Male,3682,6
1989,Mono County,rural,West,Pacific,Male,3841,NA
1990,Mono County,rural,West,Pacific,Male,4041,NA
1991,Mono County,rural,West,Pacific,Male,3994,17
1992,Mono County,rural,West,Pacific,Male,4102,12
1993,Mono County,rural,West,Pacific,Male,4308,12
1994,Mono County,rural,West,Pacific,Male,4600,NA
1995,Mono County,rural,West,Pacific,Male,4632,NA
1996,Mono County,rural,West,Pacific,Male,4669,NA
1997,Mono County,rural,West,Pacific,Male,4756,NA
1998,Mono County,rural,West,Pacific,Male,4805,NA
1999,Mono County,rural,West,Pacific,Male,5152,14
2000,Mono County,rural,West,Pacific,Male,5276,NA
2001,Mono County,rural,West,Pacific,Male,5412,NA
2002,Mono County,rural,West,Pacific,Male,5518,NA
2003,Mono County,rural,West,Pacific,Male,5503,24
2004,Mono County,rural,West,Pacific,Male,5572,11
2005,Mono County,rural,West,Pacific,Male,5534,NA
2006,Mono County,rural,West,Pacific,Male,5637,18
2007,Mono County,rural,West,Pacific,Male,5517,25
2008,Mono County,rural,West,Pacific,Male,5544,NA
2009,Mono County,rural,West,Pacific,Male,5559,NA
2010,Mono County,rural,West,Pacific,Male,5576,NA
2011,Mono County,rural,West,Pacific,Male,5577,NA
2012,Mono County,rural,West,Pacific,Male,5583,NA
2013,Mono County,rural,West,Pacific,Male,5558,NA
2014,Mono County,rural,West,Pacific,Male,5417,NA
2015,Mono County,rural,West,Pacific,Male,5407,NA
2016,Mono County,rural,West,Pacific,Male,5246,NA
1970,Monterey County,small/mid,West,Pacific,Male,91856,NA
1971,Monterey County,small/mid,West,Pacific,Male,91539,NA
1972,Monterey County,small/mid,West,Pacific,Male,90511,NA
1973,Monterey County,small/mid,West,Pacific,Male,89313,NA
1974,Monterey County,small/mid,West,Pacific,Male,92962,NA
1975,Monterey County,small/mid,West,Pacific,Male,96283,NA
1976,Monterey County,small/mid,West,Pacific,Male,97093,NA
1977,Monterey County,small/mid,West,Pacific,Male,99968,NA
1978,Monterey County,small/mid,West,Pacific,Male,101489,NA
1979,Monterey County,small/mid,West,Pacific,Male,101721,NA
1980,Monterey County,small/mid,West,Pacific,Male,103764,NA
1981,Monterey County,small/mid,West,Pacific,Male,106820,NA
1982,Monterey County,small/mid,West,Pacific,Male,109340,NA
1983,Monterey County,small/mid,West,Pacific,Male,112025,524
1984,Monterey County,small/mid,West,Pacific,Male,115070,516
1985,Monterey County,small/mid,West,Pacific,Male,117695,621
1986,Monterey County,small/mid,West,Pacific,Male,120659,675
1987,Monterey County,small/mid,West,Pacific,Male,122445,784
1988,Monterey County,small/mid,West,Pacific,Male,123952,892
1989,Monterey County,small/mid,West,Pacific,Male,125183,NA
1990,Monterey County,small/mid,West,Pacific,Male,126923,NA
1991,Monterey County,small/mid,West,Pacific,Male,128654,942
1992,Monterey County,small/mid,West,Pacific,Male,130061,939
1993,Monterey County,small/mid,West,Pacific,Male,128364,964
