number,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore,release_year
1096,Rift's Cave,2014-12-01,4.99,"0 .. 20,000",Frost Earth,Frost Earth,0,0,NA,2014
1098,Extreme Roads USA,2014-06-06,8.99,"0 .. 20,000",United Independent Entertainment GmbH,United Independent Entertainment GmbH,0,0,NA,2014
1099,Mahjong Magic Journey 2,2014-12-07,4.99,"0 .. 20,000",Creobit,8floor,0,0,NA,2014
1100,Virus Jigglin' Fever,2014-05-26,1.99,"0 .. 20,000",devFluid,devFluid,0,0,NA,2014
1101,Spaceforce Homeworld,2014-02-19,4.99,"0 .. 20,000",Dreamatrix,Dreamatrix,0,0,NA,2014
1127,Heroes of Steel RPG,2014-04-23,9.99,"0 .. 20,000",Trese Brothers,Trese Brothers,0,0,NA,2014
1129,Wrestling Revolution 3D,2014-10-01,9.99,"0 .. 20,000",MDickie,MDickie,0,0,NA,2014
1131,Foosball - Street Edition,2014-04-16,4.99,"0 .. 20,000","Yuisy, Exkee",Yuisy,0,0,NA,2014
1134,Q*bert: Rebooted,2014-07-01,NA,"0 .. 20,000","Sideline Amusements, Gonzo Games","Sideline Amusements, Gonzo Games",0,0,NA,2014
1142,弾幕アマノジャク 〜 Impossible Spell Card.,2014-05-11,10.99,"0 .. 20,000",上海アリス幻樂団,"Mediascape Co., Ltd.",0,0,NA,2014
1143,Fritz Chess 14,2014-09-22,39.99,"0 .. 20,000",ChessBase,Viva Media,0,0,NA,2014
1144,The Dungeoning,2014-04-24,3.99,"0 .. 20,000",Nick Donnelly,Nick Donnelly,0,0,NA,2014
1151,Recruits,2014-07-31,9.99,"0 .. 20,000","QUByte Interactive, Commotion Games Pty Ltd",Commotion Games Pty Ltd,0,0,NA,2014
1152,Pilot Brothers 2,2014-12-31,4.99,"0 .. 20,000",1C Wireless,1C Entertainment,0,0,NA,2014
1154,Thieves' Gambit: The Curse of the Black Cat,2014-10-17,2.99,"0 .. 20,000",Choice of Games,Choice of Games,0,0,NA,2014
1155,Philia : the Sequel to Elansar,2014-01-01,2.99,"0 .. 20,000",OrionSoft,OrionSoft,0,0,NA,2014
1156,East Tower - Kurenai (East Tower Series Vol. 4),2014-03-11,14.99,"0 .. 20,000",ROSEVERTE,ROSEVERTE,0,0,NA,2014
1157,MotoGP14 Compact,2014-11-21,4.99,"0 .. 20,000",Milestone S.r.l.,Milestone S.r.l.,0,0,NA,2014
1158,IHF Handball Challenge 14,2014-03-28,9.99,"0 .. 20,000",Neutron Games GmbH,"Bigben Interactive, Plug In Digital",0,0,NA,2014
1159,Jacob Jones and the Bigfoot Mystery : Episode 2,2014-09-23,3.99,"0 .. 20,000",Lucid Games Ltd,Lucid Games Ltd,0,0,NA,2014
1160,Miko Gakkou: Second Year,2014-11-13,5.99,"0 .. 20,000",xinoro,xinoro,0,0,NA,2014
1161,It's time to get out from the solar system,2014-08-08,3.99,"0 .. 20,000",WTFOMGames,WTFOMGames,0,0,NA,2014
1162,Pirate Hell,2014-11-07,5.99,"0 .. 20,000",Sascha Hartleb,Sascha Hartleb,0,0,NA,2014
1163,Monster Challenge Circus,2014-05-15,4.99,"0 .. 20,000",Freegamer,Strategy First,0,0,NA,2014
1164,Snow Light,2014-08-15,9.99,"0 .. 20,000",West Dragon Productions DR,OG-ZONE Digital Entertainment,0,0,NA,2014
1165,Psycho Train,2014-11-04,6.99,"0 .. 20,000",Veles Studio,Alawar Entertainment,0,0,NA,2014
1166,Triblaster,2014-07-01,0.99,"0 .. 20,000","oeFun, Inc.","oeFun, Inc.",0,0,NA,2014
1167,Santa's Special Delivery,2014-12-12,2.99,"0 .. 20,000","Drunk Robot Games, Effinvance",Cerulean Games,0,0,NA,2014
1168,Sharpe Investigations: Death on the Seine,2014-07-15,6.99,"0 .. 20,000",Icarus Games,Libredia Entertainment,0,0,NA,2014
1169,Nancy Drew: Labyrinth of Lies,2014-10-14,19.99,"0 .. 20,000",HeR Interactive,HeR Interactive,0,0,NA,2014
1170,Frontline : Longest Day,2014-12-09,4.99,"0 .. 20,000",88mm,Slitherine Ltd.,0,0,NA,2014
1171,Beekyr,2014-07-10,1.99,"0 .. 20,000",KaleidoGames,KaleidoGames,0,0,NA,2014
1196,Gender Bender DNA Twister Extreme,2014-09-01,24.99,"0 .. 20,000",Transcendent Games,Transcendent Games,0,0,NA,2014
1200,CoH 2 - The Western Front Armies: Oberkommando West,2014-06-23,12.99,"0 .. 20,000","Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",0,0,NA,2014
1202,Deadnaut,2014-11-27,9.99,"0 .. 20,000",Screwfly Studios,Screwfly Studios,0,0,NA,2014
1206,Bot Colony,2014-06-16,14.99,"0 .. 20,000",North Side,North Side,0,0,NA,2014
1208,Ilamentia,2014-11-25,2.99,"0 .. 20,000",Anthony Case,Caiysware,0,0,NA,2014
1211,Bik - A Space Adventure,2014-10-14,4.99,"0 .. 20,000",Zotnip,Zotnip,0,0,NA,2014
1212,Deadstone,2014-11-12,7.99,"0 .. 20,000",Timeslip Softworks,Timeslip Softworks,0,0,NA,2014
1216,Bliss,2014-12-08,4.99,"0 .. 20,000",Oruji Productions,Oruji Productions,0,0,NA,2014
1219,KEL Reaper of Entropy,2014-11-18,1.99,"0 .. 20,000",Tavern Games,Stained Glass Llama,0,0,NA,2014
1220,Airship Dragoon,2014-08-26,19.99,"0 .. 20,000",YorkshireRifles,YorkshireRifles,0,0,NA,2014
1221,Hollow's Land,2014-12-23,NA,"0 .. 20,000",sxpenx,sxpenx,0,0,NA,2014
1222,Legions of Ashworld,2014-07-04,4.99,"0 .. 20,000",Jugilus,Wastelands Interactive,0,0,NA,2014
1223,Elastrix,2014-12-18,2.99,"0 .. 20,000",Hyper Hippo Games,Hyper Hippo Games,0,0,NA,2014
1224,Beach Resort Simulator,2014-11-28,9.99,"0 .. 20,000",Earthworm Games,Ravenscourt,0,0,NA,2014
1225,Vault Cracker,2014-05-15,4.99,"0 .. 20,000",Gogii Games,Strategy First,0,0,NA,2014
1257,Instant Dungeon!,2014-11-25,1.99,"0 .. 20,000",With The Love Studios,Flying Interactive,0,0,NA,2014
1260,GhostControl Inc.,2014-06-06,14.99,"0 .. 20,000",bumblebee,Application Systems Heidelberg,0,0,NA,2014
1264,Altitude0: Lower & Faster,2014-09-20,18.99,"0 .. 20,000",Gugila,Gugila,0,0,NA,2014
1266,Gates of Horizon,2014-12-18,NA,"0 .. 20,000",Hex Keep,Hex Keep,0,0,NA,2014
1268,MXGP - The Official Motocross Videogame Compact,2014-12-03,4.99,"0 .. 20,000",Milestone S.r.l.,Milestone S.r.l.,0,0,NA,2014
1270,Calibre 10 Racing,2014-03-26,1.99,"0 .. 20,000",Bongfish GmbH,Bongfish GmbH,0,0,NA,2014
1273,Long Night,2014-07-07,4.99,"0 .. 20,000",Trickster Face,Trickster Face,0,0,NA,2014
1276,Gardens Inc. 2: The Road to Fame,2014-05-22,9.99,"0 .. 20,000","World-Loom, Nitreal",MumboJumbo,0,0,NA,2014
1278,Crash And Burn Racing,2014-12-09,2.99,"0 .. 20,000",Lunagames,Libredia,0,0,NA,2014
1279,Paper Monsters Recut,2014-10-23,7.99,"0 .. 20,000","Mobot Studios, Inc","Crescent Moon Games, LLC",0,0,NA,2014
1280,Episode 1 - A Boy Learns What Fear Is,2014-01-06,3.99,"0 .. 20,000",Spicy Horse Games,Spicy Horse Games,0,0,NA,2014
1282,Mountain Racing,2014-12-19,4.99,"0 .. 20,000",Yash Future Tech Solutions Pvt Ltd,Yash Future Tech Solutions Pvt Ltd,0,0,NA,2014
1283,A-Men,2014-01-25,9.99,"0 .. 20,000",Bloober Team SA,Bloober Team SA,0,0,NA,2014
1284,Life of a Mobster,2014-07-11,2.99,"0 .. 20,000",Hosted Games,Hosted Games,0,0,NA,2014
1285,Derrick the Deathfin,2014-06-16,7.99,"0 .. 20,000",different cloth,different cloth,0,0,NA,2014
1287,Organic Panic,2014-05-14,NA,"0 .. 20,000",Last Limb LLC,GameMill,0,0,NA,2014
1288,Squirt's Adventure,2014-03-05,0.99,"0 .. 20,000",The Dept of Silly Stuff,The Dept of Silly Stuff,0,0,NA,2014
1289,Front Page Sports Football,2014-10-02,9.99,"0 .. 20,000",Cyanide Studio,Cyanide Studio,0,0,NA,2014
1290,Roaming Fortress,2014-11-20,10.99,"0 .. 20,000",YETi CGI,Brisk Mobile Inc,0,0,NA,2014
1291,The Labyrinth of Time,2014-11-26,5.99,"0 .. 20,000",Terra Nova Development,Nightdive Studios,0,0,NA,2014
1292,ColecoVision Flashback,2014-12-27,19.99,"0 .. 20,000",AtGames,AtGames,0,0,NA,2014
1296,Xsyon - Prelude,2014-12-29,29.99,"0 .. 20,000",Notorious Games,Notorious Games,0,0,NA,2014
1304,Amphora,2014-11-12,13.99,"0 .. 20,000",Moondrop,Moondrop,0,0,NA,2014
1306,Psy High,2014-12-12,4.99,"0 .. 20,000",Choice of Games,Choice of Games,0,0,NA,2014
1307,Magicians & Looters,2014-07-01,2.99,"0 .. 20,000",Morgopolis Studios,Morgopolis Studios,0,0,NA,2014
1314,Gridiron Solitaire,2014-01-21,7.99,"0 .. 20,000",Bill and Eli Productions,Bill and Eli Productions,0,0,NA,2014
1316,Global Outbreak: Doomsday Edition,2014-08-11,8.99,"0 .. 20,000",ShortRound Games,ShortRound Games,0,0,NA,2014
1318,Trace Vector,2014-08-19,6.99,"0 .. 20,000",Vexel Games,Vexel Games,0,0,NA,2014
1322,Ludwig,2014-06-06,9.99,"0 .. 20,000",ovos,ovos,0,0,NA,2014
1324,Hell,2014-11-13,29.99,"0 .. 20,000",Hunted Cow Studios,Slitherine Ltd.,0,0,NA,2014
1326,Violet Haunted,2014-11-27,0.99,"0 .. 20,000",Donnie D. Washington II,Donnie D. Washington II,0,0,NA,2014
1327,Myths Of Orion: Light From The North,2014-12-03,6.99,"0 .. 20,000",Cateia Games,Libredia Entertainment,0,0,NA,2014
1328,Ground Pounders,2014-07-15,4.99,"0 .. 20,000",Kerberos Productions Inc.,Kerberos Productions Inc.,0,0,NA,2014
1330,Starlight Inception,2014-04-22,9.99,"0 .. 20,000","Escape Hatch Entertainment, LLC","Escape Hatch Entertainment, LLC",0,0,NA,2014
1332,My Pet Hotel 2,2014-03-27,14.99,"0 .. 20,000",Independent Arts Software,familyplay,0,0,NA,2014
1333,Corto Maltese - Secrets of Venice,2014-12-04,9.99,"0 .. 20,000",Kids up hill,"BulkyPix, Plug In Digital",0,0,NA,2014
1334,The Escapist,2014-09-15,4.99,"0 .. 20,000",Backstab Games,Backstab Games,0,0,NA,2014
1335,Entwined: The Perfect Murder,2014-09-02,5.99,"0 .. 20,000",Urchin Games,Impossible Mystery Games,0,0,NA,2014
1,Grand Theft Auto V,2015-04-14,29.99,"10,000,000 .. 20,000,000",Rockstar North,Rockstar Games,697,234,96,2015
34,SMITE,2015-09-08,NA,"10,000,000 .. 20,000,000",Titan Forge Games,Hi-Rez Studios,704,1209,83,2015
345,Tom Clancy's Rainbow Six Siege,2015-12-01,19.99,"10,000,000 .. 20,000,000",Ubisoft Montreal,Ubisoft,594,393,NA,2015
2019,Trove,2015-07-09,NA,"10,000,000 .. 20,000,000",Trion Worlds,Trion Worlds,70,70,NA,2015
3,The Witcher 3: Wild Hunt,2015-05-18,39.99,"5,000,000 .. 10,000,000",CD PROJEKT RED,CD PROJEKT RED,609,281,93,2015
14,Rocket League,2015-07-07,9.99,"5,000,000 .. 10,000,000","Psyonix, Inc.","Psyonix, Inc.",560,461,86,2015
21,Cities: Skylines,2015-03-10,29.99,"5,000,000 .. 10,000,000",Colossal Order Ltd.,Paradox Interactive,739,1196,85,2015
33,Fallout 4,2015-11-09,29.99,"5,000,000 .. 10,000,000",Bethesda Game Studios,Bethesda Softworks,16,21,84,2015
35,Divide By Sheep,2015-07-02,4.99,"5,000,000 .. 10,000,000","Victor Solodilov, Denis Novikov",tinyBuild,31,20,83,2015
106,Evolve Stage 2,2015-02-10,NA,"5,000,000 .. 10,000,000",Turtle Rock Studios,2K,0,0,77,2015
276,Dirty Bomb,2015-06-20,NA,"5,000,000 .. 10,000,000",Splash Damage,Warchest Ltd.,807,670,63,2015
524,Clicker Heroes,2015-05-13,NA,"5,000,000 .. 10,000,000",Playsaurus,Playsaurus,5670,1890,NA,2015
850,AdVenture Capitalist,2015-03-30,NA,"5,000,000 .. 10,000,000",Hyper Hippo Games,Hyper Hippo Games,0,0,NA,2015
1571,Life is Strange - Episode 1,2015-01-29,NA,"5,000,000 .. 10,000,000","DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral interactive (Mac), Feral Interactive (Linux)",135,90,NA,2015
2165,Freestyle 2: Street Basketball,2015-04-01,NA,"5,000,000 .. 10,000,000",Joycity,Joycity,277,92,NA,2015
4,Undertale,2015-09-15,9.99,"2,000,000 .. 5,000,000",tobyfox,tobyfox,0,0,92,2015
8,Kerbal Space Program,2015-04-27,39.99,"2,000,000 .. 5,000,000",Squad,Private Division,0,0,88,2015
11,Dying Light,2015-01-26,39.99,"2,000,000 .. 5,000,000",Techland,Techland Publishing,137,185,87,2015
36,Prison Architect,2015-10-06,29.99,"2,000,000 .. 5,000,000","Double Eleven, Introversion Software",Paradox Interactive,312,369,83,2015
39,Broforce,2015-10-15,14.99,"2,000,000 .. 5,000,000",Free Lives,Devolver Digital,0,0,83,2015
80,DARK SOULS II: Scholar of the First Sin,2015-04-01,39.99,"2,000,000 .. 5,000,000","FromSoftware, Inc","BANDAI NAMCO Entertainment, FromSoftware, Inc",0,0,79,2015
87,Jotun: Valhalla Edition,2015-09-29,14.99,"2,000,000 .. 5,000,000",Thunder Lotus Games,Thunder Lotus Games,30,10,79,2015
98,TERA,2015-05-05,NA,"2,000,000 .. 5,000,000","Bluehole, Inc.",En Masse Entertainment,0,0,77,2015
112,DISTRAINT: Deluxe Edition,2015-10-21,4.99,"2,000,000 .. 5,000,000",Jesse Makkonen,Jesse Makkonen,118,107,76,2015
139,Just Cause 3,2015-11-30,19.99,"2,000,000 .. 5,000,000",Avalanche Studios,Square Enix,30,19,74,2015
151,The Red Solstice,2015-07-09,9.99,"2,000,000 .. 5,000,000",Ironward,Nkidu Games Inc.,0,0,74,2015
160,Mad Max,2015-09-01,19.99,"2,000,000 .. 5,000,000","Avalanche Studios, Feral Interactive (Mac), Feral Interactive (Linux)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)",1508,502,73,2015
169,Block N Load,2015-04-30,NA,"2,000,000 .. 5,000,000","Toadman Interactive, Jagex, Artplant","Toadman Interactive, Jagex",0,0,72,2015
262,Kholat,2015-06-09,19.99,"2,000,000 .. 5,000,000",IMGN.PRO,IMGN.PRO,NA,NA,64,2015
285,F1 2015,2015-07-09,39.99,"2,000,000 .. 5,000,000","Codemasters, Feral Interactive (Linux)","Codemasters, Feral Interactive (Linux)",201,67,61,2015
347,Transformice,2015-01-30,NA,"2,000,000 .. 5,000,000",Atelier 801,Atelier 801,40,26,NA,2015
605,Tabletop Simulator,2015-06-05,19.99,"2,000,000 .. 5,000,000",Berserk Games,Berserk Games,133,184,NA,2015
889,sZone-Online,2015-12-29,NA,"2,000,000 .. 5,000,000",Cybertime System,Cybertime System,0,0,NA,2015
1218,WARMODE,2015-08-25,NA,"2,000,000 .. 5,000,000",Novalink,Novalink,1,0,NA,2015
1382,America's Army: Proving Grounds,2015-10-01,NA,"2,000,000 .. 5,000,000",U.S. Army,U.S. Army,0,0,NA,2015
1383,Red Crucible: Firestorm,2015-12-22,NA,"2,000,000 .. 5,000,000","Rocketeer Games Studio, LLC","Rocketeer Games Studio, LLC",0,0,NA,2015
1995,Just Survive,2015-01-15,NA,"2,000,000 .. 5,000,000",Daybreak Game Company,Daybreak Game Company,0,0,NA,2015
1996,Besiege,2015-01-28,9.99,"2,000,000 .. 5,000,000",Spiderling Studios,Spiderling Studios,1,0,NA,2015
2023,Survarium,2015-04-02,NA,"2,000,000 .. 5,000,000",Vostok Games,Vostok Games,15,5,NA,2015
2027,Gear Up,2015-01-28,NA,"2,000,000 .. 5,000,000",Doctor Entertainment AB,Doctor Entertainment AB,0,0,NA,2015
2062,Magic Duels,2015-07-29,NA,"2,000,000 .. 5,000,000",Stainless Games Ltd.,Wizards of the Coast LLC,0,0,NA,2015
2164,Mitos.is: The Game,2015-07-29,NA,"2,000,000 .. 5,000,000",Freakinware Studios,Freakinware Studios,0,0,NA,2015
2422,Romero's Aftermath,2015-09-24,NA,"2,000,000 .. 5,000,000",Free Reign Entertainment,"OP Productions LLC, Free Reign East LLC",0,0,NA,2015
2,Divinity: Original Sin - Enhanced Edition,2015-10-27,39.99,"1,000,000 .. 2,000,000",Larian Studios,Larian Studios,0,0,94,2015
5,METAL GEAR SOLID V: THE PHANTOM PAIN,2015-09-01,19.99,"1,000,000 .. 2,000,000",Konami Digital Entertainment,Konami Digital Entertainment,220,157,91,2015
6,Pillars of Eternity,2015-03-26,29.99,"1,000,000 .. 2,000,000",Obsidian Entertainment,Paradox Interactive,0,0,89,2015
7,Fallout: A Post Nuclear Role Playing Game,2015-11-01,9.99,"1,000,000 .. 2,000,000",Interplay Inc.,Bethesda Softworks,0,0,89,2015
9,Ori and the Blind Forest,2015-03-10,NA,"1,000,000 .. 2,000,000",Moon Studios GmbH,Xbox Game Studios,0,0,88,2015
12,Crypt of the NecroDancer,2015-04-23,14.99,"1,000,000 .. 2,000,000",Brace Yourself Games,"Brace Yourself Games, Klei Entertainment",116,122,87,2015
18,DiRT Rally,2015-12-07,39.99,"1,000,000 .. 2,000,000","Codemasters Racing Studio, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)",4,1,86,2015
19,Black Mesa,2015-05-05,19.99,"1,000,000 .. 2,000,000",Crowbar Collective,Crowbar Collective,0,0,86,2015
28,Mortal Kombat X,2015-04-13,19.99,"1,000,000 .. 2,000,000","NetherRealm Studios, QLOC",Warner Bros. Interactive Entertainment,148,117,84,2015
40,Project CARS,2015-03-15,29.99,"1,000,000 .. 2,000,000",Slightly Mad Studios,"Slightly Mad Studios, BANDAI NAMCO Entertainment",7,2,83,2015
41,HELLDIVERS A New Hell Edition,2015-12-07,19.99,"1,000,000 .. 2,000,000",Arrowhead Game Studios,"PlayStation Mobile, Inc.",0,0,83,2015
49,Duck Game,2015-06-04,12.99,"1,000,000 .. 2,000,000",Landon Podbielski,Adult Swim Games,0,0,82,2015
51,Hacknet,2015-08-12,9.99,"1,000,000 .. 2,000,000",Team Fractal Alligator,Fellow Traveller,171,32,82,2015
66,Elite Dangerous,2015-04-02,29.99,"1,000,000 .. 2,000,000",Frontier Developments,Frontier Developments,103,68,80,2015
70,Total War: ATTILA,2015-02-17,44.99,"1,000,000 .. 2,000,000",CREATIVE ASSEMBLY,SEGA,94,31,80,2015
72,ArcheAge,2015-03-26,NA,"1,000,000 .. 2,000,000",XLGAMES,Trion Worlds,0,0,80,2015
137,Kingdom: Classic,2015-10-21,4.99,"1,000,000 .. 2,000,000","Noio, Licorice",Raw Fury,103,34,74,2015
156,Call of Duty: Black Ops III,2015-11-05,59.99,"1,000,000 .. 2,000,000","Treyarch, Aspyr (Mac)","Activision, Aspyr (Mac)",137,149,73,2015
179,The Escapists,2015-02-13,17.99,"1,000,000 .. 2,000,000",Mouldy Toof Studios,Team17 Digital Ltd,312,104,71,2015
188,Verdun,2015-04-28,19.99,"1,000,000 .. 2,000,000","M2H, Blackmill Games",M2H,0,0,70,2015
194,Dungeons 2,2015-04-24,19.99,"1,000,000 .. 2,000,000",Realmforge Studios,Kalypso Media Digital,0,0,70,2015
348,Spooky's Jump Scare Mansion,2015-07-28,NA,"1,000,000 .. 2,000,000",Lag Studios,Lag Studios,0,0,NA,2015
349,Blender,2015-07-03,NA,"1,000,000 .. 2,000,000",Blender Foundation,Blender Foundation,787,262,NA,2015
526,Darksiders II Deathinitive Edition,2015-11-05,29.99,"1,000,000 .. 2,000,000","Gunfire Games, Vigil Games, THQ Nordic",THQ Nordic,0,0,NA,2015
617,AX:EL - Air XenoDawn,2015-12-04,NA,"1,000,000 .. 2,000,000",Alex Piola,KISS ltd,58,41,NA,2015
854,Relic Hunters Zero,2015-08-18,NA,"1,000,000 .. 2,000,000",Rogue Snail,Rogue Snail,0,0,NA,2015
884,Who's Your Daddy,2015-12-23,4.99,"1,000,000 .. 2,000,000",Evil Tortilla Games,Evil Tortilla Games,0,0,NA,2015
1217,Batman: Arkham Knight,2015-06-23,19.99,"1,000,000 .. 2,000,000",Rocksteady Studios,Warner Bros. Interactive Entertainment,194,183,NA,2015
1253,Hotline Miami 2: Wrong Number,2015-03-10,14.99,"1,000,000 .. 2,000,000",Dennaton Games,Devolver Digital,87,120,NA,2015
1254,ShellShock Live,2015-03-11,6.99,"1,000,000 .. 2,000,000",kChamp Games,kChamp Games,60,20,NA,2015
1255,Resident Evil Revelations 2 / Biohazard Revelations 2,2015-02-24,5.99,"1,000,000 .. 2,000,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",359,119,NA,2015
1573,Sakura Clicker,2015-07-29,NA,"1,000,000 .. 2,000,000",Winged Cloud,Winged Cloud,0,0,NA,2015
1574,Train Simulator 2019,2015-09-17,29.99,"1,000,000 .. 2,000,000",Dovetail Games,Dovetail Games - Trains,0,0,NA,2015
1577,Strife,2015-05-22,NA,"1,000,000 .. 2,000,000",S2 Games,S2 Games,0,0,NA,2015
1647,MechWarrior Online Solaris 7,2015-12-10,NA,"1,000,000 .. 2,000,000",Piranha Games Inc.,Piranha Games Inc.,0,0,NA,2015
2368,Emily is Away,2015-11-20,NA,"1,000,000 .. 2,000,000",Kyle Seeley,Kyle Seeley,0,0,NA,2015
2370,Magicka 2,2015-05-26,14.99,"1,000,000 .. 2,000,000",Pieces Interactive,Paradox Interactive,52,17,NA,2015
10,Nuclear Throne,2015-12-05,11.99,"500,000 .. 1,000,000",Vlambeer,Vlambeer,4,1,88,2015
16,Homeworld Remastered Collection,2015-02-25,34.99,"500,000 .. 1,000,000",Gearbox Software,Gearbox Publishing,0,0,86,2015
27,Grim Fandango Remastered,2015-01-26,14.99,"500,000 .. 1,000,000",Double Fine Productions,Double Fine Productions,0,0,84,2015
31,SOMA,2015-09-21,29.99,"500,000 .. 1,000,000",Frictional Games,Frictional Games,176,210,84,2015
44,"Invisible, Inc.",2015-05-12,19.99,"500,000 .. 1,000,000",Klei Entertainment,Klei Entertainment,0,0,82,2015
45,Resident Evil / biohazard HD REMASTER,2015-01-19,19.99,"500,000 .. 1,000,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",4,1,82,2015
53,Shadowrun: Hong Kong - Extended Edition,2015-08-20,19.99,"500,000 .. 1,000,000",Harebrained Schemes,Paradox Interactive,1651,550,81,2015
56,Galactic Civilizations III,2015-05-14,29.99,"500,000 .. 1,000,000",Stardock Entertainment,Stardock Entertainment,0,0,81,2015
58,SUNLESS SEA,2015-02-06,18.99,"500,000 .. 1,000,000",Failbetter Games,Failbetter Games,0,0,81,2015
62,Card Hunter,2015-07-13,NA,"500,000 .. 1,000,000",Blue Manchu,Blue Manchu,0,0,80,2015
86,Warhammer: End Times - Vermintide,2015-10-23,29.99,"500,000 .. 1,000,000",Fatshark,Fatshark,0,0,79,2015
94,Hand of Fate,2015-02-17,19.99,"500,000 .. 1,000,000",Defiant Development,Defiant Development,0,0,78,2015
95,Human Resource Machine,2015-10-15,14.99,"500,000 .. 1,000,000",Tomorrow Corporation,Tomorrow Corporation,0,0,78,2015
100,Tales of Zestiria,2015-10-19,49.99,"500,000 .. 1,000,000",BANDAI NAMCO Studio Inc.,BANDAI NAMCO Entertainment,0,0,77,2015
102,Mini Metro,2015-11-06,9.99,"500,000 .. 1,000,000",Dinosaur Polo Club,Dinosaur Polo Club,0,0,77,2015
115,Wolfenstein: The Old Blood,2015-05-04,19.99,"500,000 .. 1,000,000",MachineGames,Bethesda Softworks,44,29,76,2015
122,Armello,2015-09-01,19.99,"500,000 .. 1,000,000",League of Geeks,League of Geeks,0,0,75,2015
128,Satellite Reign,2015-08-27,29.99,"500,000 .. 1,000,000",5 Lives Studios,5 Lives Studios,0,0,75,2015
130,Victor Vran ARPG,2015-07-24,19.99,"500,000 .. 1,000,000",Haemimont Games,EuroVideo Medien,0,0,75,2015
143,Assassin's Creed Syndicate,2015-11-18,39.99,"500,000 .. 1,000,000","Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",Ubisoft,0,0,74,2015
144,Assassin’s Creed Rogue,2015-03-09,19.99,"500,000 .. 1,000,000","Ubisoft Sofia, Ubisoft Kiev",Ubisoft,0,0,74,2015
148,12 is Better Than 6,2015-11-20,9.99,"500,000 .. 1,000,000",Ink Stains Games,HypeTrain Digital,0,0,74,2015
164,Zombie Army Trilogy,2015-03-06,44.99,"500,000 .. 1,000,000",Rebellion,Rebellion,162,58,72,2015
180,Keep Talking and Nobody Explodes,2015-10-08,14.99,"500,000 .. 1,000,000",Steel Crate Games,Steel Crate Games,0,0,71,2015
227,Car Mechanic Simulator 2015,2015-04-23,19.99,"500,000 .. 1,000,000",Red Dot Games,PlayWay S.A.,77,25,68,2015
230,SimplePlanes,2015-12-17,12.99,"500,000 .. 1,000,000","Jundroo, LLC","Jundroo, LLC",0,0,67,2015
254,Heroes of Might & Magic III - HD Edition,2015-01-29,14.99,"500,000 .. 1,000,000",DotEmu,Ubisoft Entertainment,0,0,65,2015
291,I am Bread,2015-04-09,12.99,"500,000 .. 1,000,000",Bossa Studios,Bossa Studios,0,0,60,2015
338,Viridi,2015-08-19,NA,"500,000 .. 1,000,000","Zoe Vartanian, Badru, Isa Hutchinson, Michael Bell",Ice Water Games,1,0,46,2015
346,HuniePop,2015-01-19,9.99,"500,000 .. 1,000,000",HuniePot,HuniePot,0,0,NA,2015
353,Turbo Pug,2015-11-09,0.99,"500,000 .. 1,000,000","Space Cat Studios, SnowFlame, Back To Basics Gaming",Back To Basics Gaming,0,0,NA,2015
357,The Deer,2015-12-02,0.99,"500,000 .. 1,000,000","Fabio Ferrara, Giulia Airoldi",Chubby Pixel,0,0,NA,2015
608,The Mean Greens - Plastic Warfare,2015-12-08,4.99,"500,000 .. 1,000,000","Virtual Basement LLC, Code Headquarters LLC",Virtual Basement LLC,0,0,NA,2015
610,GRAV,2015-01-08,19.99,"500,000 .. 1,000,000","BitMonster, Inc.","BitMonster, Inc.",0,0,NA,2015
611,8BitMMO,2015-01-26,NA,"500,000 .. 1,000,000",Archive Entertainment,Archive Entertainment,0,0,NA,2015
851,BeamNG.drive,2015-05-29,24.99,"500,000 .. 1,000,000",BeamNG,BeamNG,40,13,NA,2015
852,NEKOPARA Vol. 0,2015-08-17,2.99,"500,000 .. 1,000,000",NEKO WORKs,Sekai Project,204,135,NA,2015
853,60 Seconds!,2015-05-25,9.99,"500,000 .. 1,000,000",Robot Gentleman,Robot Gentleman,40,24,NA,2015
855,Rebel Galaxy,2015-10-20,19.99,"500,000 .. 1,000,000",Double Damage Games,Double Damage Games,0,0,NA,2015
886,Devil May Cry 4 Special Edition,2015-06-23,24.99,"500,000 .. 1,000,000","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",104,63,NA,2015
895,Pool Nation FX Lite,2015-12-07,NA,"500,000 .. 1,000,000",Cherry Pop Games,Cherry Pop Games,0,0,NA,2015
1006,RPG MO,2015-08-18,NA,"500,000 .. 1,000,000",Marxnet,Marxnet,0,0,NA,2015
1022,Stellar 2D,2015-07-30,0.99,"500,000 .. 1,000,000",quad games,Back To Basics Gaming,0,0,NA,2015
