number,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore,release_year
6377,Aetherspace,2017-07-03,NA,"50,000 .. 100,000",Munchkin's Lair,Munchkin's Lair,0,0,NA,2017
6386,Fighter of Evil,2017-05-03,1.99,"50,000 .. 100,000",SharkGame,Rhino Games,0,0,NA,2017
6392,1 vs 1 : Global Operations,2017-05-03,3.99,"50,000 .. 100,000",Blaiz Entertainment,Blaiz Entertainment,0,0,NA,2017
6437,Crazy Buggy Racing,2017-04-12,0.49,"50,000 .. 100,000",VGstudio,VGstudio,0,0,NA,2017
6501,Artillerists,2017-01-02,3.99,"50,000 .. 100,000",SolarLance,SolarLance,0,0,NA,2017
6517,Save the Ninja Clan,2017-01-20,0.99,"50,000 .. 100,000",Willz,Sometimes You,0,0,NA,2017
6532,- Arcane Raise -,2017-03-10,2.99,"50,000 .. 100,000",Arcane Raise,WAX Publishing,0,0,NA,2017
6534,Lost Base Escape,2017-01-23,0.99,"50,000 .. 100,000","Demik Technology, Shevchenko Technology",Demik Technology,0,0,NA,2017
6571,Mad Digger,2017-12-12,4.99,"50,000 .. 100,000",Berezka,КиКо,0,0,NA,2017
6761,古剑奇谭(GuJian),2017-09-07,11.99,"50,000 .. 100,000",上海烛龙信息科技有限公司,北京网元圣唐娱乐科技有限公司,0,0,NA,2017
6788,XXZ,2017-09-29,NA,"50,000 .. 100,000",L. Stotch,L. Stotch,0,0,NA,2017
6790,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,2017-08-25,19.99,"50,000 .. 100,000",CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,0,0,NA,2017
6796,aMAZE 2,2017-04-21,0.49,"50,000 .. 100,000",Blender Games,Blender Games,0,0,NA,2017
6800,Your Friend Hana,2017-04-06,0.99,"50,000 .. 100,000",Xorcerox,Xorcerox,0,0,NA,2017
6809,FROSTBITE: Deadly Climate,2017-11-19,NA,"50,000 .. 100,000",Alex Olinkiewicz,Alex Olinkiewicz,0,0,NA,2017
6818,Google Spotlight Stories: Pearl,2017-10-19,NA,"50,000 .. 100,000",Google Inc.,Google Inc.,0,0,NA,2017
6834,Tactical Genius Online,2017-01-20,NA,"50,000 .. 100,000",Pixeltales.ru,Pixeltales.ru,0,0,NA,2017
6844,SKYBOX VR Video Player,2017-10-24,NA,"50,000 .. 100,000","Source Technology Co., Ltd.","Source Technology Co., Ltd.",0,0,NA,2017
6868,Box Maze,2017-03-03,0.99,"50,000 .. 100,000",GamersHype Productions,GamersHype Productions,0,0,NA,2017
